"","title","release_date","duration_ms","duration_min","ology","smologies","encore","part_2","branch","primary","secondary"
"305","Snow Hydrology (SNOW & AVALANCHES) with Ned Bair","1/15/2019",3513573,58.56,"Hydrology",0,0,0,"FNS","Earth science",NA
"307","Felinology (CATS) with Mikel Delgado","1/8/2019",5074703,84.58,"Felinology",0,0,0,"FNS","Biology",NA
"308","Entomophagy Anthropology (EATING BUGS AS SUSTAINABLE PROTEIN) with Julie Lesnik","1/1/2019",4929880,82.16,"Anthropology",0,0,0,"FSS","Anthropology","Biology"
"310","Mixology (COCKTAILS) with Matthew Biancaniello","12/18/2018",4191869,69.86,"Mixology",0,0,0,"ANS","Art","Agricultural sciences"
"311","Selenology (THE MOON) with Raquel Nuno","12/11/2018",4922253,82.04,"Selenology",0,0,0,"FNS","Astronomy","Earth science"
"312","Classical Archaeology (ANCIENT ROME) with Darius Arya","12/4/2018",4369031,72.82,"Archaeology",0,0,0,"FSS","Anthropology",NA
"313","Microbiology (GUT BIOME) with Elaine Hsiao","11/27/2018",4651415,77.52,"Microbiology",0,0,0,"FNS","Biology","Medicine"
"314","Grateful-ology (GRATITUDE) is not totally a real word","11/20/2018",940277,15.67,"ology",0,0,0,"FSS","Psychology",NA
"315","Food Anthropology (FEASTS) with Katherine Spiers","11/13/2018",4384608,73.08,"Anthropology",0,0,0,"FSS","Anthropology","Agricultural sciences"
"316","Eschatology (THE APOCALYPSE) with Phil Torres","11/6/2018",4083304,68.06,"Eschatology",0,0,0,"FSS","Anthropology",NA
"317","Corvid Thanatology (CROW FUNERALS) with Kaeli Swift","10/30/2018",4423366,73.72,"Thanatology",0,0,0,"FNS","Biology",NA
"319","Somnology (SLEEP) Part 1 with W. Chris Winter","10/16/2018",4426736,73.78,"Somnology",0,0,0,"FNS","Biology","Medicine"
"320","Surgical Oncology (BREAST CANCER) with Donna-Marie Manasseh","10/9/2018",4977946,82.97,"Oncology",0,0,0,"ANS","Medicine","Biology"
"322","Functional Morphology (ANATOMY) with Joy Reidenberg","10/2/2018",4344946,72.42,"Morphology",0,0,0,"FNS","Biology","Medicine"
"323","Myrmecology (ANTS) with Terry McGlynn","9/25/2018",4984685,83.08,"Myrmecology",0,0,0,"FNS","Biology",NA
"324","Egyptology (ANCIENT EGYPT) with Kara Cooney","9/18/2018",4885603,81.43,"Egyptology",0,0,0,"FSS","Anthropology",NA
"325","Conservation Technology (EARTH SAVING) with Shah Selbe","9/11/2018",5049704,84.16,"Technology",0,0,0,"ANS","Engineering",NA
"326","Oceanology (OCEANS) with Ayana Johnson","9/4/2018",4574328,76.24,"Oceanology",0,0,0,"FNS","Earth science",NA
"327","Ferroequinology (TRAINS) with Matt Anderson","8/28/2018",3860009,64.33,"Ferroequinology",0,0,0,"ANS","Engineering",NA
"329","Kalology (BEAUTY STANDARDS) with Renee Engeln","8/21/2018",5933792,98.9,"Kalology",0,0,0,"FSS","Anthropology",NA
"330","Oology (EGGS) with John Bates","8/14/2018",3494373,58.24,"Oology",0,0,0,"FNS","Biology",NA
"331","Ophthalmology (EYES) with Reid Wainess","8/7/2018",5017678,83.63,"Ophthalmology",0,0,0,"ANS","Medicine","Biology"
"332","Epidemiology (DISEASES) with 'This Podcast Will Kill You's' Erins Welsh & Allmann-Updyke","7/31/2018",5428871,90.48,"Epidemiology",0,0,0,"AFS","Statistics","Medicine"
"333","Selachimorphology (SHARKS) with Chris Lowe","7/24/2018",4600868,76.68,"Selachimorphology",0,0,0,"FNS","Biology",NA
"334","Malacology (SNAILS & SLUGS) with Jann Vendetti","7/17/2018",4223425,70.39,"Malacology",0,0,0,"FNS","Biology",NA
"336","Areology (MARS) Part 1 with Jennifer Buz","7/3/2018",4014080,66.9,"Areology",0,0,0,"FNS","Astronomy","Earth science"
"338","Deltiology  (POSTCARDS) with Donna Braden","6/19/2018",3301302,55.02,"Deltiology",0,0,0,"FSS","Anthropology",NA
"339","Rhinology (NOSES) with John Craig","6/12/2018",4163839,69.4,"Rhinology",0,0,0,"ANS","Medicine","Biology"
"340","Phonology (LINGUISTICS) with Nicole Holliday","6/5/2018",3793737,63.23,"Phonology",0,0,0,"ASS","Pedagogy","Anthropology"
"341","Cynology (DOGS) with Brandon McMillan","5/29/2018",4597995,76.63,"Cynology",0,0,0,"FNS","Biology",NA
"342","Lepidopterology (BUTTERFLIES) with Phil Torres","5/22/2018",4781609,79.69,"Lepidopterology",0,0,0,"FNS","Biology",NA
"343","Trichology (HAIR) with Valerie Horsley","5/15/2018",4694465,78.24,"Trichology",0,0,0,"FNS","Biology","Anthropology"
"344","Dendrology (TREES) with J. Casey Clapp","5/8/2018",5350635,89.18,"Dendrology",0,0,0,"FNS","Biology","Agricultural sciences"
"345","Fearology Pt. 2 (FEAR) with Mary Poffenroth","5/1/2018",3540009,59,"Fearology",0,0,0,"FSS","Psychology",NA
"346","Fearology Pt. 1 (FEAR) with Mary Poffenroth","4/24/2018",4429792,73.83,"Fearology",0,0,0,"FSS","Psychology",NA
"347","Radiology (X-RAY VISION) with Varshana Gurusamy","4/17/2018",4213446,70.22,"Radiology",0,0,0,"ANS","Medicine","Physics"
"348","Evolutionary Biology (DARWINISM) with John McCormack","4/10/2018",3663072,61.05,"Biology",0,0,0,"FNS","Biology",NA
"349","Gynecology (NETHER HEALTH) with Philippa Ribbink","4/3/2018",4871706,81.2,"Gynecology",0,0,0,"ANS","Medicine","Biology"
"350","Zymology (BEER) with Quinton Sturgeon","3/27/2018",3217293,53.62,"Zymology",0,0,0,"ANS","Agricultural science","Chemistry"
"351","Melittology (BEES) with Amanda Shaw","3/20/2018",4483108,74.72,"Melittology",0,0,0,"FNS","Biology",NA
"352","Museology (MUSEUMS) with Ronnie Cline","3/13/2018",3585358,59.76,"Museology",0,0,0,"ASS","Pedagogy","Anthropology"
"353","Gizmology (ROBOTS) with Simone Giertz","3/6/2018",2040790,34.01,"Gizmology",0,0,0,"ANS","Engineering","Art"
"354","Mythology (STORYTELLING) with John Bucher","2/27/2018",4379898,73,"Mythology",0,0,0,"FSS","Anthropology","Pedagogy"
"355","Teuthology (SQUIDS) with Sarah McAnulty","2/20/2018",3494138,58.24,"Teuthology",0,0,0,"FNS","Biology",NA
"356","Sexology (SEX) with Shan Boody  aka Shannon Boodram","2/13/2018",4335072,72.25,"Sexology",0,0,0,"FSS","Psychology","Biology"
"357","Gelotology (LAUGHTER) with Lee Berk","2/6/2018",3310942,55.18,"Gelotology",0,0,0,"FSS","Psychology","Biology"
"358","Ichthyology (FISHES) with Chris Thacker","1/30/2018",4019513,66.99,"Ichthyology",0,0,0,"FNS","Biology",NA
"359","Herpetology (SNAKES, FROGS, ETC.) with David Steen","1/23/2018",4258037,70.97,"Herpetology",0,0,0,"FNS","Biology",NA
"360","Sports & Performance Psychology (ANXIETY & CONFIDENCE) with Sari Shepphird","1/16/2018",4874004,81.23,"Psychology",0,0,0,"FSS","Psychology",NA
"361","Hematology (BLOOD) with Brian Durie","1/9/2018",2899095,48.32,"Hematology",0,0,0,"FNS","Medicine","Biology"
"362","Glycobiology (CARBS) with Michelle Dookwah","1/3/2018",2742804,45.71,"Glycobiology",0,0,0,"FNS","Biology","Chemistry"
"364","Cosmology (THE UNIVERSE) with Katie Mack, Part I","12/12/2017",5476336,91.27,"Cosmology",0,0,0,"FNS","Astronomy","Physics"
"365","Entomology (INSECTS) with Lila Higgins","12/5/2017",3387533,56.46,"Entomology",0,0,0,"FNS","Biology",NA
"367","Cosmetology (GLAM/GROOMING) with Alysha Sherri Marcantonio","11/14/2017",4162168,69.37,"Cosmetology",0,0,0,"FSS","Art","Anthropology"
"368","Ornithology (BIRDS) with James Maley","11/7/2017",3264052,54.4,"Ornithology",0,0,0,"FNS","Biology",NA
"369","Thanatology (DEATH & DYING) with Cole Imperi","10/31/2017",4996336,83.27,"Thanatology",0,0,0,"FSS","Anthropology","Biology"
"371","Horology (WATCHES) with Cameron Weiss","10/18/2017",2420114,40.34,"Horology",0,0,0,"ANS","Engineering","Art"
"372","Gemology (CRYSTALS & GEMS) with Kelly Sitek","10/10/2017",3360313,56.01,"Gemology",0,0,0,"FNS","Earth science",NA
"373","Paleontology (DINOSAURS) with Michael Habib","10/4/2017",2884022,48.07,"Paleontology",0,0,0,"FNS","Biology",NA
"374","Primatology (MONKEYS & APES) with Kate Gilmore","9/26/2017",4557897,75.96,"Primatology",0,0,0,"FNS","Biology",NA
"375","Volcanology (VOLCANOES) with Jess Phoenix","9/19/2017",3421335,57.02,"Volcanology",0,0,0,"FNS","Earth science",NA
